Designator,Mid X,Mid Y,Rotation,Layer
C1,27.979711,-57.745361,0.0,bottom
C2,35.71878,-57.745361,0.0,bottom
D1,41.076597,-52.149422,90.0,bottom
D10,60.126613,-90.249454,90.0,bottom
D11,79.176629,-90.249454,90.0,bottom
D12,41.076597,-109.29947,90.0,bottom
D13,60.126613,-109.29947,90.0,bottom
D14,79.176629,-109.29947,90.0,bottom
D15,98.226645,-109.29947,90.0,bottom
D16,41.076597,-128.349486,90.0,bottom
D17,60.126613,-128.349486,90.0,bottom
D18,79.176629,-128.349486,90.0,bottom
D19,62.150673,-35.123467,180.0,bottom
D2,60.126613,-52.149422,90.0,bottom
D20,68.245,-27.4,270.0,top
D21,72.445,-27.4,270.0,top
D22,76.645,-27.4,270.0,top
D23,80.845,-27.4,270.0,top
D24,85.045,-27.4,270.0,top
D25,89.245,-27.4,270.0,top
D26,93.445,-27.4,270.0,top
D27,97.645,-27.4,270.0,top
D3,79.176629,-52.149422,90.0,bottom
D4,98.226645,-52.149422,90.0,bottom
D5,41.076597,-71.199438,90.0,bottom
D6,60.126613,-71.199438,90.0,bottom
D7,79.176629,-71.199438,90.0,bottom
D8,98.226645,-71.199438,90.0,bottom
D9,41.076597,-90.249454,90.0,bottom
S10,50.601605,-85.725072,0.0,top
S11,69.651621,-85.725072,0.0,top
S12,31.551589,-104.775088,0.0,top
S13,50.601605,-104.775088,0.0,top
S14,69.651621,-104.775088,0.0,top
S15,88.701637,-114.300096,0.0,top
S16,31.551589,-123.825104,0.0,top
S17,50.601605,-123.825104,0.0,top
S18,69.651621,-123.825104,0.0,top
S2,50.601605,-47.62504,0.0,top
S3,69.651621,-47.62504,0.0,top
S4,88.701637,-47.62504,0.0,top
S5,31.551589,-66.675056,0.0,top
S6,50.601605,-66.675056,0.0,top
S7,69.651621,-66.675056,0.0,top
S8,88.701637,-76.200064,0.0,top
S9,31.551589,-85.725072,0.0,top
SW1,31.432841,-47.518796,90.0,top
SW2,60.126613,-27.384398,90.0,top
U1,38.615971,-28.575024,90.0,top
